student_id,year,component,units
S029,1,Current TA,1
S029,1,Current GR,3
S029,1,Current E,0
S029,1,Past TA,0
S029,1,Past GR,4
S030,1,Current TA,0
S030,1,Current GR,4
S030,1,Current E,0
S030,1,Past TA,0
S030,1,Past GR,4
S031,1,Current TA,1
S031,1,Current GR,3
S031,1,Current E,0
S031,1,Past TA,0
S031,1,Past GR,4
S032,1,Current TA,1
S032,1,Current GR,3
S032,1,Current E,0
S032,1,Past TA,0
S032,1,Past GR,4
S033,1,Current TA,1
S033,1,Current GR,3
S033,1,Current E,0
S033,1,Past TA,0
S033,1,Past GR,4
S034,1,Current TA,0
S034,1,Current GR,4
S034,1,Current E,0
S034,1,Past TA,0
S034,1,Past GR,4
S035,1,Current TA,0
S035,1,Current GR,4
S035,1,Current E,0
S035,1,Past TA,0
S035,1,Past GR,4
S036,1,Current TA,1
S036,1,Current GR,3
S036,1,Current E,0
S036,1,Past TA,0
S036,1,Past GR,4
S037,1,Current TA,1
S037,1,Current GR,3
S037,1,Current E,0
S037,1,Past TA,0
S037,1,Past GR,4
S038,1,Current TA,1
S038,1,Current GR,3
S038,1,Current E,0
S038,1,Past TA,0
S038,1,Past GR,4
S020,2,Current TA,0
S020,2,Current GR,4
S020,2,Current E,0
S020,2,Past TA,2
S020,2,Past GR,2
S021,2,Current TA,2
S021,2,Current GR,1
S021,2,Current E,1
S021,2,Past TA,2
S021,2,Past GR,2
S022,2,Current TA,2
S022,2,Current GR,1
S022,2,Current E,1
S022,2,Past TA,2
S022,2,Past GR,2
S023,2,Current TA,2
S023,2,Current GR,1
S023,2,Current E,1
S023,2,Past TA,2
S023,2,Past GR,2
S024,2,Current TA,2
S024,2,Current GR,1
S024,2,Current E,1
S024,2,Past TA,2
S024,2,Past GR,2
S025,2,Current TA,2
S025,2,Current GR,2
S025,2,Current E,0
S025,2,Past TA,2
S025,2,Past GR,2
S026,2,Current TA,2
S026,2,Current GR,2
S026,2,Current E,0
S026,2,Past TA,2
S026,2,Past GR,2
S027,2,Current TA,4
S027,2,Current GR,0
S027,2,Current E,0
S027,2,Past TA,0
S027,2,Past GR,4
S028,2,Current TA,1
S028,2,Current GR,2
S028,2,Current E,1
S028,2,Past TA,0
S028,2,Past GR,4
S039,2,Current TA,4
S039,2,Current GR,0
S039,2,Current E,0
S039,2,Past TA,0
S039,2,Past GR,4
S040,2,Current TA,1
S040,2,Current GR,3
S040,2,Current E,0
S040,2,Past TA,0
S040,2,Past GR,4
S007,3,Current TA,2
S007,3,Current GR,1
S007,3,Current E,1
S007,3,Past TA,2
S007,3,Past GR,2
S008,3,Current TA,1
S008,3,Current GR,2
S008,3,Current E,1
S008,3,Past TA,0
S008,3,Past GR,4
S009,3,Current TA,1
S009,3,Current GR,2
S009,3,Current E,1
S009,3,Past TA,0
S009,3,Past GR,4
S010,3,Current TA,1
S010,3,Current GR,2
S010,3,Current E,1
S010,3,Past TA,3
S010,3,Past GR,1
S011,3,Current TA,2
S011,3,Current GR,1
S011,3,Current E,1
S011,3,Past TA,2
S011,3,Past GR,2
S012,3,Current TA,1
S012,3,Current GR,2
S012,3,Current E,1
S012,3,Past TA,3
S012,3,Past GR,1
S013,3,Current TA,1
S013,3,Current GR,2
S013,3,Current E,1
S013,3,Past TA,3
S013,3,Past GR,1
S014,3,Current TA,1
S014,3,Current GR,2
S014,3,Current E,1
S014,3,Past TA,3
S014,3,Past GR,1
S015,3,Current TA,1
S015,3,Current GR,2
S015,3,Current E,1
S015,3,Past TA,3
S015,3,Past GR,1
S016,3,Current TA,2
S016,3,Current GR,1
S016,3,Current E,1
S016,3,Past TA,2
S016,3,Past GR,2
S017,3,Current TA,1
S017,3,Current GR,2
S017,3,Current E,1
S017,3,Past TA,0
S017,3,Past GR,4
S018,3,Current TA,0
S018,3,Current GR,3
S018,3,Current E,1
S018,3,Past TA,2
S018,3,Past GR,2
S019,3,Current TA,1
S019,3,Current GR,2
S019,3,Current E,1
S019,3,Past TA,3
S019,3,Past GR,1
S001,4,Current TA,0
S001,4,Current GR,3
S001,4,Current E,1
S001,4,Past TA,2
S001,4,Past GR,2
S002,4,Current TA,0
S002,4,Current GR,3
S002,4,Current E,1
S002,4,Past TA,2
S002,4,Past GR,2
S003,4,Current TA,2
S003,4,Current GR,1
S003,4,Current E,1
S003,4,Past TA,2
S003,4,Past GR,2
S004,4,Current TA,3
S004,4,Current GR,0
S004,4,Current E,1
S004,4,Past TA,0
S004,4,Past GR,4
S005,4,Current TA,3
S005,4,Current GR,0
S005,4,Current E,1
S005,4,Past TA,0
S005,4,Past GR,4
S006,4,Current TA,3
S006,4,Current GR,0
S006,4,Current E,1
S006,4,Past TA,0
S006,4,Past GR,4
