Semester,Solver,Run,Time_seconds,Objective
AY2520,glpk,1,0.21,-182
AY2520,glpk,2,0.187,-182
AY2520,glpk,3,0.184,-182
AY2520,glpk,4,0.179,-182
AY2520,glpk,5,0.183,-182
AY2520,glpk,6,0.186,-182
AY2520,glpk,7,0.186,-182
AY2520,glpk,8,0.238,-182
AY2520,glpk,9,0.182,-182
AY2520,glpk,10,0.197,-182
AY2520,glpk,11,0.204,-182
AY2520,glpk,12,0.185,-182
AY2520,glpk,13,0.182,-182
AY2520,glpk,14,0.187,-182
AY2520,glpk,15,0.181,-182
AY2520,glpk,16,0.184,-182
AY2520,glpk,17,0.183,-182
AY2520,glpk,18,0.182,-182
AY2520,glpk,19,0.188,-182
AY2520,glpk,20,0.182,-182
AY2520,glpk,21,0.183,-182
AY2520,glpk,22,0.183,-182
AY2520,glpk,23,0.187,-182
AY2520,glpk,24,0.181,-182
AY2520,glpk,25,0.187,-182
AY2520,glpk,26,0.182,-182
AY2520,glpk,27,0.186,-182
AY2520,glpk,28,0.182,-182
AY2520,glpk,29,0.184,-182
AY2520,glpk,30,0.187,-182
AY2520,highs,1,0.238,-182
AY2520,highs,2,0.199,-182
AY2520,highs,3,0.196,-182
AY2520,highs,4,0.198,-182
AY2520,highs,5,0.194,-182
AY2520,highs,6,0.196,-182
AY2520,highs,7,0.194,-182
AY2520,highs,8,0.198,-182
AY2520,highs,9,0.197,-182
AY2520,highs,10,0.198,-182
AY2520,highs,11,0.198,-182
AY2520,highs,12,0.196,-182
AY2520,highs,13,0.198,-182
AY2520,highs,14,0.196,-182
AY2520,highs,15,0.204,-182
AY2520,highs,16,0.194,-182
AY2520,highs,17,0.198,-182
AY2520,highs,18,0.194,-182
AY2520,highs,19,0.195,-182
AY2520,highs,20,0.199,-182
AY2520,highs,21,0.195,-182
AY2520,highs,22,0.197,-182
AY2520,highs,23,0.193,-182
AY2520,highs,24,0.195,-182
AY2520,highs,25,0.196,-182
AY2520,highs,26,0.207,-182
AY2520,highs,27,0.197,-182
AY2520,highs,28,0.196,-182
AY2520,highs,29,0.189,-182
AY2520,highs,30,0.195,-182
