"course","TA_demand","GR_demand","E_demand","E_students","GR_students","TA_students","E_total_allocated","GR_total_allocated","TA_total_allocated"
"C01",0,8,3,"S003(1), S004(1), S005(1)","S001(3), S002(2), S023(2), S025(1)",NA,3,8,NA
"C02",0,6,3,"S006(1), S008(1), S042(1)","S003(2), S004(2), S025(1), S027(1)",NA,3,6,NA
"C03",0,3,2,"S020(1), S025(1)","S002(1), S005(2)",NA,2,3,NA
"C04",0,3,2,"S011(1), S012(1)","S006(2), S027(1)",NA,2,3,NA
"C05",0,4,2,"S013(1), S015(1)","S007(3), S026(1)",NA,2,4,NA
"C06",0,2,2,"S016(1), S017(1)","S008(2)",NA,2,2,NA
"C07",2,5,2,"S018(1), S019(1)","S009(2), S010(3)","S025(1), S041(1)",2,5,2
"C08",14,0,0,NA,NA,"S002(1), S005(1), S006(1), S007(1), S008(1), S009(1), S015(2), S016(1), S033(3), S035(2)",NA,NA,14
"C09",11,8,3,"S021(1), S022(1), S023(1)","S009(1), S011(2), S013(1), S017(1), S019(1), S020(2)","S010(1), S012(2), S017(2), S027(1), S042(2), S043(3)",3,8,11
"C10",17,0,0,NA,NA,"S011(1), S019(2), S021(3), S023(1), S024(1), S026(1), S028(1), S032(2), S034(1), S038(2), S040(1), S041(1)",NA,NA,17
"C11",10,0,0,NA,NA,"S001(1), S003(1), S004(1), S020(1), S022(2), S029(2), S036(1), S037(1)",NA,NA,10
"C12",0,2,2,"S029(1), S030(1)","S029(1), S035(1)",NA,2,2,NA
"C13",0,3,2,"S031(1), S032(1)","S026(1), S030(2)",NA,2,3,NA
"C14",0,3,2,"S033(1), S034(1)","S030(1), S031(2)",NA,2,3,NA
"C15",0,2,2,"S035(1), S036(1)","S022(1), S031(1)",NA,2,2,NA
"C16",0,10,3,"S037(1), S038(1), S039(1)","S013(2), S018(3), S024(2), S032(1), S034(2)",NA,3,10,NA
"C17",0,10,3,"S024(1), S040(1), S041(1)","S014(3), S016(2), S036(2), S037(2), S038(1)",NA,3,10,NA
"C18",0,4,2,"S014(1), S043(1)","S039(3), S040(1)",NA,2,4,NA
"C19",0,7,3,"S026(1), S027(1), S028(1)","S012(1), S015(1), S028(2), S040(1), S041(1), S042(1)",NA,3,7,NA
