"student_id","year","past_ta","past_gr","GR_courses","TA_courses","E_courses","GR_units","TA_units","E_units","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19"
"S001",1,0,4,"C01(3)","C11(1)",NA,3,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S002",1,0,4,"C01(2), C03(1)","C08(1)",NA,3,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S003",1,0,4,"C02(2)","C11(1)","C01(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S004",1,0,4,"C02(2)","C11(1)","C01(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S005",1,0,4,"C03(2)","C08(1)","C01(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S006",1,0,4,"C04(2)","C08(1)","C02(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S007",1,0,4,"C05(3)","C08(1)",NA,3,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S008",1,0,4,"C06(2)","C08(1)","C02(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S009",1,0,4,"C07(2), C09(1)","C08(1)",NA,3,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S010",1,0,4,"C07(3)","C09(1)",NA,3,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S011",4,1,3,"C09(2)","C10(1)","C04(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S012",4,1,3,"C19(1)","C09(2)","C04(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,1,3,2,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S013",4,3,1,"C09(1), C16(2)",NA,"C05(1)",3,NA,1,-99,-99,-99,-99,-99,-99,-99,3,2,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
"S014",4,2,2,"C17(3)",NA,"C18(1)",3,NA,1,-99,-99,-99,-99,-99,-99,-99,1,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S015",4,1,3,"C19(1)","C08(2)","C05(1)",1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S016",4,2,2,"C17(2)","C08(1)","C06(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S017",4,1,3,"C09(1)","C09(2)","C06(1)",1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S018",4,2,2,"C16(3)",NA,"C07(1)",3,NA,1,-99,-99,-99,-99,-99,-99,-99,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S019",4,0,4,"C09(1)","C10(2)","C07(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S020",4,1,3,"C09(2)","C11(1)","C03(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S021",4,0,4,NA,"C10(3)","C09(1)",NA,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,1,-99,-99,-99,-99,-99,-99,-99,-99
"S022",4,1,3,"C15(1)","C11(2)","C09(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S023",3,2,2,"C01(2)","C10(1)","C09(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,-99,2,3,1,-99,-99,-99,-99,-99,-99,-99,-99
"S024",3,2,2,"C16(2)","C10(1)","C17(1)",2,1,1,-99,-99,-99,-99,-99,-99,1,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S025",3,1,3,"C01(1), C02(1)","C07(1)","C03(1)",2,1,1,-99,-99,-99,-99,-99,-99,3,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S026",3,2,2,"C05(1), C13(1)","C10(1)","C19(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S027",3,2,2,"C02(1), C04(1)","C09(1)","C19(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,1,3,2,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S028",3,2,2,"C19(2)","C10(1)","C19(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,2,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S029",3,0,4,"C12(1)","C11(2)","C12(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S030",3,2,2,"C13(2), C14(1)",NA,"C12(1)",3,NA,1,-99,-99,-99,-99,-99,-99,-99,2,-99,3,1,-99,-99,-99,-99,-99,-99,-99,-99
"S031",2,2,2,"C14(2), C15(1)",NA,"C13(1)",3,NA,1,-99,-99,-99,-99,-99,-99,-99,2,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S032",2,0,4,"C16(1)","C10(2)","C13(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,2,3,1,-99,-99,-99,-99,-99,-99,-99,-99
"S033",2,0,4,NA,"C08(3)","C14(1)",NA,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S034",2,1,3,"C16(2)","C10(1)","C14(1)",2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"S035",2,1,3,"C12(1)","C08(2)","C15(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,3,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S036",2,1,3,"C17(2)","C11(1)","C15(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S037",2,1,3,"C17(2)","C11(1)","C16(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,1,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99
"S038",2,0,4,"C17(1)","C10(2)","C16(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S039",2,2,2,"C18(3)",NA,"C16(1)",3,NA,1,-99,-99,-99,-99,-99,-99,2,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S040",2,2,2,"C18(1), C19(1)","C10(1)","C17(1)",2,1,1,-99,-99,-99,-99,-99,-99,-99,-99,2,3,1,-99,-99,-99,-99,-99,-99,-99,-99
"S041",2,0,4,"C19(1)","C07(1), C10(1)","C17(1)",1,2,1,-99,-99,-99,-99,-99,-99,3,1,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99
"S042",2,0,4,"C19(1)","C09(2)","C02(1)",1,2,1,-99,-99,-99,-99,-99,-99,-99,1,3,-99,2,-99,-99,-99,-99,-99,-99,-99,-99
"S043",2,0,4,NA,"C09(3)","C18(1)",NA,3,1,-99,-99,-99,-99,-99,-99,-99,-99,3,1,2,-99,-99,-99,-99,-99,-99,-99,-99
